id_venta,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento,metodo_pago,total_venta
50111,1012,2003,24-05-25,0,$599.000,5 %,Crédito,NaN
50112,1038,2002,2024-05-28,0,499.000,,tarjeta,
50113,1010,2009,05/17/2025,dos,$19.990,  ,Tarjeta,$0
50114,1009,2012,31-08-24,5,$599.000,,Debito,
50115,1054,2010,05-03-24,4,NaN,5 %,Efectivo,
50116,1003,2004,09/02/2025,-1,$19.990,5 %,Crédito,999.999
50117,1014,2001,2024-06-12, 3 ,$19.990,0.05,Debito,NaN
50118,1038,2005,22/05/2025,4,$-10,  ,Crédito,NaN
50119,1019,2007,11/05/2025,4,499.000,10%,TDC,$0
50120,1024,2003,08-01-24,dos,$0,,Débito,NaN
50121,1021,2007,08/03/2024,dos,$0,5 %,Crédito,NaN
50122,1012,2008,17-10-24,4,$-10,,Debito,
50123,1021,2099,2024-06-08,3,499.000,10%,Debito,999.999
50124,1035,2008,2025-04-23,3,$0,"0,15",Crédito,NaN
50125,1024,2011,2025-08-17,5,NaN,5 %,Crédito,999.999
50126,1054,2008,14-05-24,-1,$0,5 %,Crédito,NaN
50127,1038,2009,2024-08-05,2,499.000,5 %,Debito,NaN
50128,001001,2011,2025-08-04,5,$19.990,0.05,tarjeta,999.999
50129,1049,2004,2024-11-24,2,499.000,5 %,Débito,$0
50130,1012,2002,14/11/2024,4, 159.990 ,10%,Efectivo,$0
50131,1022,2007,2025-04-20,5,$599.000,,Débito,$0
50132,1057,2007,01/26/2024,4,$-10,"0,15",tarjeta,999.999
50133,1018,2002,2024-10-04,1,$-10,,TDC,NaN
50134,1012,2099,2024-11-06,dos,$19.990,5 %,Debito,999.999
50135,1036,2004,08/06/2025,0, 159.990 ,0.05,Débito,
50136,1007,2099,20/10/2024,1,"29,990",  ,tarjeta,
50137,1050,2006,03-08-24,2,$-10,  ,Efectivo,999.999
50138,1017,2009,02-04-24,dos,NaN,"0,15",efec.,
50139,1043,2012,07/29/2024,0,$599.000,0.05,Crédito,
50140,1005,2012,26-07-25,3,$599.000,  ,Crédito,$0
50141,1015,2001,21-06-24, 3 ,$-10,,Crédito,$0
50142,1008,2003,05/13/2025,4,"29,990",,efec.,999.999
50143,001059,2011,25-12-24,3,$599.000,5 %,Crédito,$0
50144,1040,2002,07/15/2025,3,$599.000,5 %,efec.,NaN
50145,1053,2004,27-04-24,1,$0,0.05,Crédito,
50146,1003,2005,2024-11-07,2, 159.990 ,0.05,tarjeta,999.999
50147,1020,2008,24-04-25,5,$599.000,5 %,tarjeta,
50148,001000,2008,12/05/2025, 3 , 159.990 ,,efec.,NaN
50149,1031,2004,10-07-25,1,$0,,Debito,$0
50150,1041,2004,2024-03-21,1,$19.990,0.05,TDC,$0
50151,1023,2003,2025-06-22,2, 159.990 ,  ,Débito,NaN
50152,1011,2011,30-12-24,4,$0,10%,Débito,$0
50153,1015,2001,12/02/2024,dos,$19.990,10%,efec.,NaN
50154,1031,2012,10-06-24,2,$599.000,  ,Crédito,999.999
50155,1008,2008,15/02/2025,1,NaN,0.05,Crédito,999.999
50156,1046,2006,03/01/2024,0,$-10,10%,Debito,
50157,1042,2001,06/10/2025, 3 ,499.000,0.05,Tarjeta,999.999
50158,1057,2012,06/17/2024,5,$19.990,0.05,Débito,999.999
50159,1030,2002,09-07-25,0,NaN,0.05,TDC,NaN
50160,001999,2010,24/03/2024, 3 , 159.990 ,5 %,Efectivo,$0
50161,1030,2011,20-05-24, 3 ,$19.990,10%,Crédito,NaN
50162,1044,2002,30-05-24,0,$-10,"0,15",Crédito,NaN
50163,1025,2005,2024-04-26,3,"29,990",5 %,tarjeta,999.999
50164,001055,2005,2024-04-07,0, 159.990 ,  ,efec.,999.999
50165,1035,2008,19/08/2024,0,499.000,0.05,tarjeta,NaN
50166,1008,2009,17/07/2025,0,499.000,0.05,Efectivo,999.999
50167,001999,2004,07/30/2025,2,$599.000,"0,15",Tarjeta,NaN
50168,1015,2001,16/01/2025,1,"29,990",0.05,Debito,
50169,001045,2003,12/03/2025,4,499.000,  ,Débito,999.999
50170,1023,2012,15/12/2024,5,499.000,10%,Débito,$0
50171,1046,2008,14-02-24,2,$0,5 %,Débito,
50172,001002,2011,05-09-24, 3 ,"29,990",  ,efec.,
50173,1053,2010,26/03/2025,1,NaN,,tarjeta,$0
50174,1011,2003,21-07-25,dos,$599.000,5 %,Debito,$0
50175,1005,2008,15/01/2024, 3 ,$599.000,0.05,efec.,
50176,1051,2001,2024-03-17,dos,NaN,10%,efec.,NaN
50177,1014,2010,13/06/2025, 3 ,$0,5 %,Crédito,$0
50178,1057,2003,26/08/2025,4,$599.000,"0,15",efec.,$0
50179,1036,2008,01-02-25, 3 ,$19.990,"0,15",efec.,$0
50180,1014,2001,09/11/2024,1,$599.000,  ,TDC,$0
50181,1024,2005,06-03-24, 3 ,$599.000,  ,Tarjeta,
50182,001055,2004,12/03/2025, 3 , 159.990 ,10%,TDC,
50183,1019,2099,15-12-24,0,"29,990","0,15",Efectivo,$0
50184,1003,2012,11-12-24,-1,$0,10%,Crédito,$0
50185,1009,2003,29/07/2024,-1,$-10,0.05,Efectivo,$0
50186,001059,2003,23/08/2025,3, 159.990 ,  ,Debito,$0
50187,1046,2010,18-07-25,2,"29,990",5 %,tarjeta,999.999
50188,1019,2010,12/27/2024, 3 ,$-10,  ,tarjeta,NaN
50189,1020,2003,09-10-24,0,$19.990,10%,Debito,999.999
50190,001045,2001,11/08/2024,dos,NaN,10%,Debito,
50191,1012,2004,2024-02-28,1,499.000,,Débito,999.999
50192,001000,2004,04/10/2024, 3 ,$19.990,10%,Débito,$0
50193,001055,2012,01/28/2024,dos,$0,10%,Tarjeta,NaN
50194,1050,2001,30-03-24,-1,$-10,"0,15",efec.,
50195,001001,2006,31-07-25,1,$-10,5 %,Débito,999.999
50196,1005,2001,2024-06-08,3,499.000,"0,15",Débito,NaN
50197,1022,2009,2025-08-25, 3 ,"29,990",  ,Debito,NaN
50198,1048,2001,11/12/2024,0, 159.990 ,"0,15",Debito,999.999
50199,1016,2001,07/25/2025,2,$0,10%,Crédito,NaN
