id_venta,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento,metodo_pago,total_venta,cliente_id_num,producto_id_num,total_calc
50068,1023,2007,2024-11-02,4.0,159990.0,0.05,Tarjeta,999.999,1023,2007,607962.0
50069,1053,2003,2025-06-18,3.0,29.99,0.05,Tarjeta,,1053,2003,85.47149999999999
50070,1056,2010,2025-05-22,3.0,29.99,0.1,Tarjeta,$0,1056,2010,80.973
50071,1012,2001,2024-08-03,1.0,0.0,0.15,Débito,,1012,2001,0.0
50072,1005,2001,2025-02-23,3.0,159990.0,0.1,Tarjeta,$0,1005,2001,431973.0
50073,001002,2003,2025-01-15,3.0,,0.05,Tarjeta,,1002,2003,
50075,1028,2009,2024-01-27,1.0,29.99,0.0,Tarjeta,999.999,1028,2009,29.99
50078,1022,2002,2024-07-02,5.0,499000.0,0.05,Efectivo,$0,1022,2002,2370250.0
50079,1007,2002,2024-04-05,3.0,29.99,0.1,Tarjeta,,1007,2002,80.973
50082,1052,2007,2025-07-28,3.0,599000.0,0.0,Débito,999.999,1052,2007,1797000.0
50083,001055,2007,2024-01-12,2.0,599000.0,0.0,Débito,,1055,2007,1198000.0
50085,1051,2001,2024-02-05,5.0,19990.0,0.05,Tarjeta,$0,1051,2001,94952.5
50086,1007,2009,2024-01-14,4.0,19990.0,0.15,Tarjeta,$0,1007,2009,67966.0
50087,1022,2011,2024-06-19,1.0,159990.0,0.0,Efectivo,999.999,1022,2011,159990.0
50091,1052,2005,2024-02-01,3.0,29.99,0.1,Efectivo,,1052,2005,80.973
50092,001000,2006,2024-06-15,3.0,0.0,0.05,Débito,$0,1000,2006,0.0
50093,1056,2004,2024-10-29,1.0,599000.0,0.05,Tarjeta,$0,1056,2004,569050.0
50095,001999,2011,2024-07-06,3.0,0.0,0.1,Tarjeta,$0,1999,2011,0.0
50096,1052,2009,2024-07-04,5.0,599000.0,0.05,Tarjeta,,1052,2009,2845250.0
50101,1027,2010,2025-01-21,2.0,0.0,0.15,Tarjeta,$0,1027,2010,0.0
50102,1013,2007,2024-01-11,1.0,159990.0,0.05,Efectivo,$0,1013,2007,151990.5
50104,001002,2010,2024-12-25,1.0,499000.0,0.05,Tarjeta,,1002,2010,474050.0
50107,1023,2002,2024-11-14,2.0,159990.0,0.0,Débito,,1023,2002,319980.0
50109,1011,2001,2025-08-01,3.0,19990.0,0.0,Efectivo,,1011,2001,59970.0
50114,1009,2012,2024-08-31,5.0,599000.0,0.0,Débito,,1009,2012,2995000.0
50115,1054,2010,2024-03-05,4.0,,0.05,Efectivo,,1054,2010,
50117,1014,2001,2024-06-12,3.0,19990.0,0.05,Débito,,1014,2001,56971.5
50119,1019,2007,2025-05-11,4.0,499000.0,0.1,Tarjeta,$0,1019,2007,1796400.0
50123,1021,2099,2024-06-08,3.0,499000.0,0.1,Débito,999.999,1021,2099,1347300.0
50124,1035,2008,2025-04-23,3.0,0.0,0.15,Tarjeta,,1035,2008,0.0
50125,1024,2011,2025-08-17,5.0,,0.05,Tarjeta,999.999,1024,2011,
50127,1038,2009,2024-08-05,2.0,499000.0,0.05,Débito,,1038,2009,948100.0
50128,001001,2011,2025-08-04,5.0,19990.0,0.05,Tarjeta,999.999,1001,2011,94952.5
50129,1049,2004,2024-11-24,2.0,499000.0,0.05,Débito,$0,1049,2004,948100.0
50130,1012,2002,2024-11-14,4.0,159990.0,0.1,Efectivo,$0,1012,2002,575964.0
50131,1022,2007,2025-04-20,5.0,599000.0,0.0,Débito,$0,1022,2007,2995000.0
50136,1007,2099,2024-10-20,1.0,29.99,0.0,Tarjeta,,1007,2099,29.99
50140,1005,2012,2025-07-26,3.0,599000.0,0.0,Tarjeta,$0,1005,2012,1797000.0
50142,1008,2003,2025-05-13,4.0,29.99,0.0,Efectivo,999.999,1008,2003,119.96
50143,001059,2011,2024-12-25,3.0,599000.0,0.05,Tarjeta,$0,1059,2011,1707150.0
50144,1040,2002,2025-07-15,3.0,599000.0,0.05,Efectivo,,1040,2002,1707150.0
50145,1053,2004,2024-04-27,1.0,0.0,0.05,Tarjeta,,1053,2004,0.0
50146,1003,2005,2024-11-07,2.0,159990.0,0.05,Tarjeta,999.999,1003,2005,303981.0
50147,1020,2008,2025-04-24,5.0,599000.0,0.05,Tarjeta,,1020,2008,2845250.0
50148,001000,2008,2025-05-12,3.0,159990.0,0.0,Efectivo,,1000,2008,479970.0
50149,1031,2004,2025-07-10,1.0,0.0,0.0,Débito,$0,1031,2004,0.0
50150,1041,2004,2024-03-21,1.0,19990.0,0.05,Tarjeta,$0,1041,2004,18990.5
50151,1023,2003,2025-06-22,2.0,159990.0,0.0,Débito,,1023,2003,319980.0
50152,1011,2011,2024-12-30,4.0,0.0,0.1,Débito,$0,1011,2011,0.0
50154,1031,2012,2024-06-10,2.0,599000.0,0.0,Tarjeta,999.999,1031,2012,1198000.0
50155,1008,2008,2025-02-15,1.0,,0.05,Tarjeta,999.999,1008,2008,
50157,1042,2001,2025-10-06,3.0,499000.0,0.05,Tarjeta,999.999,1042,2001,1422150.0
50158,1057,2012,2024-06-17,5.0,19990.0,0.05,Débito,999.999,1057,2012,94952.5
50160,001999,2010,2024-03-24,3.0,159990.0,0.05,Efectivo,$0,1999,2010,455971.5
50161,1030,2011,2024-05-20,3.0,19990.0,0.1,Tarjeta,,1030,2011,53973.0
50163,1025,2005,2024-04-26,3.0,29.99,0.05,Tarjeta,999.999,1025,2005,85.47149999999999
50167,001999,2004,2025-07-30,2.0,599000.0,0.15,Tarjeta,,1999,2004,1018300.0
50168,1015,2001,2025-01-16,1.0,29.99,0.05,Débito,,1015,2001,28.490499999999997
50169,001045,2003,2025-03-12,4.0,499000.0,0.0,Débito,999.999,1045,2003,1996000.0
50170,1023,2012,2024-12-15,5.0,499000.0,0.1,Débito,$0,1023,2012,2245500.0
50171,1046,2008,2024-02-14,2.0,0.0,0.05,Débito,,1046,2008,0.0
50172,001002,2011,2024-09-05,3.0,29.99,0.0,Efectivo,,1002,2011,89.97
50173,1053,2010,2025-03-26,1.0,,0.0,Tarjeta,$0,1053,2010,
50175,1005,2008,2024-01-15,3.0,599000.0,0.05,Efectivo,,1005,2008,1707150.0
50177,1014,2010,2025-06-13,3.0,0.0,0.05,Tarjeta,$0,1014,2010,0.0
50178,1057,2003,2025-08-26,4.0,599000.0,0.15,Efectivo,$0,1057,2003,2036600.0
50179,1036,2008,2025-02-01,3.0,19990.0,0.15,Efectivo,$0,1036,2008,50974.5
50180,1014,2001,2024-11-09,1.0,599000.0,0.0,Tarjeta,$0,1014,2001,599000.0
50181,1024,2005,2024-03-06,3.0,599000.0,0.0,Tarjeta,,1024,2005,1797000.0
50182,001055,2004,2025-03-12,3.0,159990.0,0.1,Tarjeta,,1055,2004,431973.0
50186,001059,2003,2025-08-23,3.0,159990.0,0.0,Débito,$0,1059,2003,479970.0
50187,1046,2010,2025-07-18,2.0,29.99,0.05,Tarjeta,999.999,1046,2010,56.980999999999995
50191,1012,2004,2024-02-28,1.0,499000.0,0.0,Débito,999.999,1012,2004,499000.0
50192,001000,2004,2024-10-04,3.0,19990.0,0.1,Débito,$0,1000,2004,53973.0
50196,1005,2001,2024-06-08,3.0,499000.0,0.15,Débito,,1005,2001,1272450.0
50197,1022,2009,2025-08-25,3.0,29.99,0.0,Débito,,1022,2009,89.97
50199,1016,2001,2025-07-25,2.0,0.0,0.1,Tarjeta,,1016,2001,0.0
